probe	gene
1555821_a_at	AKT1S1
226156_at	AKT2
219393_s_at	AKT3
218373_at	AKTIP
1570085_at	AL022476.2
1556999_at	AL121656.5
237787_at	AL157902.3
218487_at	ALAD
205633_s_at	ALAS1
244205_at	ALAS2
1565228_s_at	ALB
201952_at	ALCAM
227592_at	ALDH16A1
222416_at	ALDH18A1
212224_at	ALDH1A1
240435_at	ALDH1A2
203180_at	ALDH1A3
209645_s_at	ALDH1B1
215798_at	ALDH1L1
1559766_at	ALDH1L1-AS2
1556841_a_at	ALDH1L2
201425_at	ALDH2
205623_at	ALDH3A1
202054_s_at	ALDH3A2
205640_at	ALDH3B1
204942_s_at	ALDH3B2
203722_at	ALDH4A1
203609_s_at	ALDH5A1
221588_x_at	ALDH6A1
208950_s_at	ALDH7A1
220148_at	ALDH8A1
201612_at	ALDH9A1
238996_x_at	ALDOA
211617_at	ALDOAP2
211357_s_at	ALDOB
202022_at	ALDOC
223355_at	ALG1
1552306_at	ALG10
228941_at	ALG10B
218444_at	ALG12
205583_s_at	ALG13
1553954_at	ALG14
228166_at	ALG2
207396_s_at	ALG3
218203_at	ALG5
219649_at	ALG6
203545_at	ALG8
228817_at	ALG9
208211_s_at	ALK
205621_at	ALKBH1
225625_at	ALKBH2
226127_at	ALKBH3
1557564_at	ALKBH3-AS1
222228_s_at	ALKBH4
1553101_a_at	ALKBH5
225969_at	ALKBH6
227878_s_at	ALKBH7
235713_at	ALKBH8
220365_at	ALLC
214221_at	ALMS1
1556911_at	ALMS1-IT1
1552576_at	ALMS1P
207206_s_at	ALOX12
207381_at	ALOX12B
214340_at	ALOX12P2
207328_at	ALOX15
1555416_a_at	ALOX15B
204446_s_at	ALOX5
204174_at	ALOX5AP
207708_at	ALOXE3
211618_s_at	ALPI
243222_at	ALPK1
236987_at	ALPK2
228342_s_at	ALPK3
1557924_s_at	ALPL
204664_at	ALPP
216377_x_at	ALPPL2
232184_at	ALS2
229887_at	ALS2CL
1563673_a_at	ALS2CR11
242661_x_at	ALS2CR12
206837_at	ALX1
207690_at	ALX3
208330_at	ALX4
226319_s_at	ALYREF
217113_at	AMACR
221114_at	AMBN
214425_at	AMBP
52731_at	AMBRA1
201196_s_at	AMD1
229596_at	AMDHD1
208410_x_at	AMELX
208220_x_at	AMELY
1552882_a_at	AMER1
235465_at	AMER2
244709_at	AMER3
202204_s_at	AMFR
206892_at	AMHR2
228094_at	AMICA1
226718_at	AMIGO1
222108_at	AMIGO2
226421_at	AMMECR1
223297_at	AMMECR1L
1563792_at	AMN
209521_s_at	AMOT
225450_at	AMOTL1
203002_at	AMOTL2
206121_at	AMPD1
212360_at	AMPD2
207992_s_at	AMPD3
205257_s_at	AMPH
204294_at	AMT
1562261_at	AMZ1
218167_at	AMZ2
223443_s_at	AMZ2P1
241959_at	ANAPC10
226414_s_at	ANAPC11
215282_at	ANAPC13
204218_at	ANAPC15
224664_at	ANAPC16
218555_at	ANAPC2
226917_s_at	ANAPC4
208721_s_at	ANAPC5
225554_s_at	ANAPC7
205141_at	ANG
36865_at	ANGEL1
217630_at	ANGEL2
205608_s_at	ANGPT1
236034_at	ANGPT2
221134_at	ANGPT4
239183_at	ANGPTL1
213001_at	ANGPTL2
219803_at	ANGPTL3
221009_s_at	ANGPTL4
223967_at	ANGPTL6
206423_at	ANGPTL7
1556959_at	ANHX
240363_at	ANK1
232606_at	ANK2
206385_s_at	ANK3
1556653_at	ANKAR
237316_at	ANKDD1A
220144_s_at	ANKEF1
1553211_at	ANKFN1
224900_at	ANKFY1
1560369_at	ANKH
229457_at	ANKHD1
243181_at	ANKIB1
1553138_a_at	ANKLE1
212201_at	ANKLE2
220280_s_at	ANKMY1
212798_s_at	ANKMY2
