Plate,Experiment Title,Treatment,Well,Label,Count,Area Average (um^2),Total area,,TA ave,,TA prop,TA prop,Count ave,,count prop,count prop,AA ave,,AA ave,AA ave
3,mock,100nM,46,D10,12,2007.275391,24087.30469,,,1015273.896,0.023724933,0.023724933,,211,0.056872038,0.056872038,,4830.509766,0.41554111,0.41554111
3,EGFR,DMSO,52,E04,233,7595.759277,1769811.912,,1733596.206,1733596.206,1.020890508,1.020890508,250.6666667,250.6666667,0.929521277,0.929521277,6936.531901,6936.531901,1.095037028,1.095037028
3,EGFR,DMSO,64,F04,269,6711.452637,1805380.759,,,1733596.206,1.041407886,1.041407886,,250.6666667,1.073138298,1.073138298,,6936.531901,0.967551614,0.967551614
3,EGFR,DMSO,76,G04,250,6502.383789,1625595.947,,,1733596.206,0.937701606,0.937701606,,250.6666667,0.997340426,0.997340426,,6936.531901,0.937411358,0.937411358
3,EGFR,0.5nM,53,E05,279,6241.29248,1741320.602,,,1733596.206,1.004455707,1.004455707,,250.6666667,1.113031915,1.113031915,,6936.531901,0.899771322,0.899771322
3,EGFR,0.5nM,65,F05,287,6298.484863,1807665.156,,,1733596.206,1.042725607,1.042725607,,250.6666667,1.144946809,1.144946809,,6936.531901,0.90801642,0.90801642
3,EGFR,0.5nM,77,G05,266,7209.100098,1917620.626,,,1733596.206,1.106151836,1.106151836,,250.6666667,1.061170213,1.061170213,,6936.531901,1.039294593,1.039294593
3,EGFR,1nM,55,E07,353,5368.939453,1895235.627,,,1733596.206,1.093239372,1.093239372,,250.6666667,1.408244681,1.408244681,,6936.531901,0.774009192,0.774009192
3,EGFR,1nM,67,F07,328,4982.778809,1634351.449,,,1733596.206,0.942752092,0.942752092,,250.6666667,1.308510638,1.308510638,,6936.531901,0.718338628,0.718338628
3,EGFR,1nM,79,G07,315,5775.023438,1819132.383,,,1733596.206,1.049340311,1.049340311,,250.6666667,1.256648936,1.256648936,,6936.531901,0.83255199,0.83255199
3,EGFR,5nM,56,E08,273,3161.294189,863033.3137,,,1733596.206,0.497828336,0.497828336,,250.6666667,1.089095745,1.089095745,,6936.531901,0.455745643,0.455745643
3,EGFR,5nM,68,F08,241,3251.291016,783561.1348,,,1733596.206,0.451985954,0.451985954,,250.6666667,0.96143617,0.96143617,,6936.531901,0.468719969,0.468719969
3,EGFR,5nM,80,G08,237,3362.644287,796946.696,,,1733596.206,0.459707222,0.459707222,,250.6666667,0.945478723,0.945478723,,6936.531901,0.484773131,0.484773131
3,EGFR,10nM,57,E09,177,3201.200195,566612.4346,,,1733596.206,0.326842221,0.326842221,,250.6666667,0.706117021,0.706117021,,6936.531901,0.461498663,0.461498663
3,EGFR,10nM,69,F09,137,2380.493408,326127.5969,,,1733596.206,0.188122007,0.188122007,,250.6666667,0.546542553,0.546542553,,6936.531901,0.343182075,0.343182075
